COUNTRY	Population2014	Population2015	PopulationRankWorld	PopulationRankAfrica	SexRatio	RankSexRatioWorld	RankSexRatioAfrica	Density 	RankDensityWorld	RankDensityAfrica
Nigeria	178,516,904	183,523,432	7	1	103.78	182	55	198.67	68	9
Ethiopia	96,506,031	98,942,102	13	2	100.09	127	36	89.60	114	17
Egypt	83,386,739	84,705,681	15	3	100.87	146	43	84.58	119	19
Democratic Republic of the Congo	69,360,118	71,246,355	19	4	98.71	94	20	30.38	178	40
South Africa	53,139,528	53,491,333	25	5	94.54	31	1	43.81	166	33
United Republic of Tanzania	50,757,459	52,290,796	26	6	100.08	126	35	55.33	151	29
Kenya	45,545,980	46,748,617	30	7	99.53	113	29	80.55	123	20
Algeria	39,928,947	40,633,464	33	8	102.18	167	52	17.06	198	47
Uganda	38,844,624	40,141,262	34	9	100.54	141	40	166.54	73	11
Sudan	38,764,090	39,613,217	35	10	100.65	144	41	21.28	190	42
Morocco	33,492,909	33,955,157	39	11	98.18	87	18	76.04	128	22
Mozambique	26,472,977	27,121,827	47	12	96.06	48	4	33.84	174	38
Ghana	26,442,178	26,984,328	48	13	98.77	95	21	113.13	95	15
Madagascar	23,571,962	24,235,390	51	14	99.42	111	27	41.28	168	34
Cameroon	22,818,632	23,393,129	54	15	100	125	34	49.20	156	32
Angola	22,137,261	22,819,926	55	16	98.45	90	19	18.30	195	45
Côte d'Ivoire	20,804,774	21,295,284	59	17	103.62	180	54	66.04	141	26
Niger	18,534,802	19,268,380	60	18	101.76	161	51	15.21	203	48
Burkina Faso	17,419,615	17,914,625	62	19	99.16	106	25	65.38	143	27
Malawi	16,829,144	17,308,685	63	20	100.7	145	42	146.09	79	12
Mali	15,768,227	16,258,587	66	21	101.71	159	49	13.11	211	50
Zambia	15,021,002	15,519,604	70	22	99.42	110	26	20.62	191	43
Zimbabwe	14,599,325	15,046,102	71	23	97.92	82	14	38.51	171	37
Senegal	14,548,171	14,967,446	72	24	96.52	54	6	76.08	127	21
Chad	13,211,146	13,605,625	73	25	100.39	136	38	10.60	213	51
Rwanda	12,100,049	12,428,005	74	26	95.54	41	3	471.87	24	3
Guinea	12,043,898	12,347,766	75	27	100.41	137	39	50.22	154	30
South Sudan	11,738,718	12,152,321	76	28	100.22	131	37	18.86	194	44
Tunisia	11,116,899	11,235,248	78	29	98.05	85	16	68.67	137	25
Somalia	10,805,651	11,122,711	81	30	99.06	104	24	17.44	196	46
Benin	10,599,510	10,879,828	83	31	99.49	112	28	96.61	110	16
Burundi	10,482,752	10,812,619	84	32	97.67	73	10	388.47	29	5
Togo	6,993,244	7,170,797	103	33	97.47	68	9	126.28	86	13
Eritrea	6,536,176	6,737,634	107	34	99.8	118	31	57.29	149	28
Sierra Leone	6,205,382	6,318,575	109	35	98.79	97	22	88.08	116	18
Libya	6,253,452	6,317,080	110	36	98.06	86	17	3.59	223	55
Central African Republic	4,709,203	4,803,082	121	37	96.95	60	7	7.71	216	52
Congo	4,558,594	4,671,142	123	38	99.97	124	33	13.66	208	49
Liberia	4,396,873	4,503,439	126	39	101.62	157	48	40.44	169	35
Mauritania	3,984,457	4,080,224	130	40	101.48	155	46	3.98	220	54
Namibia	2,347,988	2,392,370	142	41	94.61	33	2	2.90	229	57
Lesotho	2,097,511	2,120,116	144	42	97.99	83	15	69.84	136	24
Botswana	2,038,587	2,056,370	147	43	101.75	160	50	3.54	224	56
Gambia	1,908,954	1,970,081	149	44	97.87	81	13	174.42	71	10
Guinea-Bissau	1,745,798	1,787,793	150	45	98.87	99	23	49.49	155	31
Gabon	1,711,294	1,751,199	151	46	101.2	151	45	6.54	217	53
Swaziland	1,267,704	1,285,519	154	47	97.83	79	12	74.03	133	23
Mauritius	1,249,151	1,253,581	156	48	97.14	64	8	614.50	18	2
Djibouti	886,313	899,658	159	49	100.89	147	44	38.78	170	36
Réunion	885,328	895,099	160	50	96.2	49	5	356.61	36	6
Equatorial Guinea	778,061	799,372	163	51	104.83	188	56	28.50	181	41
Comoros	752,438	770,058	165	52	101.6	156	47	413.79	26	4
Western Sahara	585,646	604,298	167	53	110.46	194	57	2.27	230	58
Cape Verde	503,637	508,315	172	54	99.79	116	30	126.04	87	14
Mayotte	228,070	233,993	186	55	99.87	120	32	625.65	17	1
Sao Tome and Principe	197,882	202,781	187	56	97.68	75	11	210.35	60	7
Seychelles	93,306	93,754	200	57	102.76	169	53	206.05	64	8
Saint Helena	4,120	4,124	229	58	-	-	-	33.80	175	39
